rank,city_state,score
1,"Miami, FL",9.88
2,"Philadelphia, PA",9.12
3,"Tampa, FL",8.88
4,"Louisville, KY",8.72
5,"Oakland, CA",8.67
6,"Boston, MA",8.35
7,"Memphis, TN",8.28
8,"Las Vegas, NV",8.21
9,"Long Beach, CA",8.18
10,"Charlotte, NC",8.11
11,"Albuquerque, NM",8.11
12,"Jacksonville, FL",8.05
13,"Houston, TX",8.04
14,"San Francisco, CA",8.02
15,"Tucson, AZ",7.98
16,"Austin, TX",7.97
17,"Colorado Springs, CO",7.87
18,"Dallas, TX",7.83
19,"Sacramento, CA",7.79
20,"Baltimore, MD",7.79
21,"New York, NY",7.69
22,"San Antonio, TX",7.67
23,"Atlanta, GA",7.65
24,"Chicago, IL",7.62
25,"Los Angeles, CA",7.61
26,"Phoenix, AZ",7.59
27,"Seattle, WA",7.53
28,"Virginia Beach, VA",7.48
29,"Fort Worth, TX",7.44
30,"Detroit, MI",7.44
31,"Portland, OR",7.40
32,"Aurora, CO",7.32
33,"Washington, D.C.",7.30
34,"Denver, CO",7.30
35,"Tulsa, OK",7.29
36,"Nashville, TN",7.19
37,"Oklahoma City, OK",7.11
38,"Raleigh, NC",6.98
39,"San Jose, CA",6.96
40,"Indianapolis, IN",6.93
41,"Milwaukee, WI",6.89
42,"Kansas City, MO",6.78
43,"Columbus, OH",6.70
44,"San Diego, CA",6.68
45,"Minneapolis, MN",6.35
46,"Omaha, NE",6.24
,,

